Category	Name	Type	Description	RName
Skin	A-431	Skin cancer (Squamous cells)	Epidermoid carcinoma cell line	A.431
Lung	A549	Lung carcinoma	Lung carcinoma cell line	A549
Primary Tissue	adipose_tissue	adipose_tissue	Primary tissue	adipose_tissue
Primary Tissue	adrenal_gland	adrenal_gland	Primary tissue	adrenal_gland
Breast/Female Reproductive	AN3-CA	Uterine cancer	Metastatic endometrial adenocarcinoma cell line	AN3.CA
Primary Tissue	appendix	appendix	Primary tissue	appendix
Other	BEWO	Uterine cancer	Metastatic choriocarcinoma cell line	BEWO
Primary Tissue	bone_marrow	bone_marrow	Primary tissue	bone_marrow
Abdominal	CACO-2	Colon adenocarcinoma	Colon adenocarcinoma cell line	CACO.2
Abdominal	CAPAN-2	Pancreas adenocarcinoma	Pancreas adenocarcinoma cell line	CAPAN.2
Primary Tissue	cerebral_cortex	cerebral_cortex	Primary tissue	cerebral_cortex
Primary Tissue	colon	colon	Primary tissue	colon
Lymphoid	Daudi	Human Burkitt lymphoma	Human Burkitt lymphoma cell line	Daudi
Primary Tissue	duodenum	duodenum	Primary tissue	duodenum
Breast/Female Reproductive	EFO-21	Ovarian cancer	Metastatic ovarian serous cystadenocarcinoma cell line	EFO.21
Primary Tissue	endometrium	endometrium	Primary tissue	endometrium
Primary Tissue	esophagus	esophagus	Primary tissue	esophagus
Primary Tissue	fallopian_tube	fallopian_tube	Primary tissue	fallopian_tube
Primary Tissue	gallbladder	gallbladder	Primary tissue	gallbladder
Skin	HaCaT	Keratinocyte cell line	Keratinocyte cell line	HaCaT
Lymphoid	HDLM-2	Hodgkin lymphoma	Hodgkin lymphoma cell line	HDLM.2
Primary Tissue	heart_muscle	heart_muscle	Primary tissue	heart_muscle
Other	HEK_293	Kidney adrenal precursor cell line	Embryonal kidney cell line, transformed by adenovirus type 5	HEK_293
Myeloid	HEL	Erythroleukemia	Erythroleukemia cell line (AML M6 in relapse after treatment for Hodgkin's disease)	HEL
Breast/Female Reproductive	HeLa	Cervical cancer	Cervical epithelial adenocarcinoma cell line	HeLa
Abdominal	Hep_G2	Hepatocellular carcinoma	Hepatocellular carcinoma cell line	Hep_G2
Myeloid	HL-60	Promyelocytic leukemia	Acute promyelocytic leukemia (APL) cell line	HL.60
Myeloid	HMC-1	Mastcell leukemia	Mastcell leukemia cell line	HMC.1
Lymphoid	K-562	Leukemia	Chronic myeloid leukemia (CML) cell line	K.562
Lymphoid	Karpas-707	Multiple myeloma	Multiple myeloma cell line	Karpas.707
