Length	Counts
2	2171
3	1710
4	2266
5	1435
6	1140
7	1076
8	1644
9	3860
10	6133
11	8323
12	10454
13	12298
14	15052
15	16289
16	16499
17	15481
18	14850
19	13795
20	12541
21	10539
22	8934
23	7437
24	6358
25	5357
26	4624
27	3618
28	3281
29	2829
30	14843
31	16108
32	17722
33	19907
34	22476
35	25001
36	28902
37	32706
38	37826
39	43300
40	46121
41	47819
42	51091
43	55587
44	60455
45	67395
46	73555
47	82819
48	97131
49	114480
50	122892
51	120569
52	114535
53	117438
54	120590
55	129188
56	140335
57	161637
58	187847
59	220953
60	238299
61	235349
62	217618
63	208398
64	210074
65	218225
66	229898
67	250316
68	289363
69	350640
70	379660
71	341738
72	311018
73	302679
74	306302
75	323273
76	343050
77	373661
78	448176
79	590115
80	719293
81	712787
82	565723
83	443471
84	412510
85	413860
86	436197
87	466849
88	534886
89	693476
90	921505
91	1074751
92	1059421
93	836257
94	655839
95	593928
96	595982
97	650362
98	758394
99	943844
100	1107873
101	1248280
102	1235255
103	1160006
104	1050493
105	969857
106	977654
107	1040488
108	1157318
109	1357551
110	1639058
111	1859410
112	1831912
113	1558553
114	1346652
115	1306371
116	1354772
117	1454275
118	1593602
119	1842833
120	2260670
121	2829845
122	3251634
123	3127976
124	2471189
125	1973194
126	1845236
127	1925344
128	2095419
129	2346342
130	2763307
131	3388129
132	4322905
133	5234078
134	5436365
135	4679544
136	4036526
137	4029535
138	4582745
139	5580255
140	6844843
141	7860912
142	8203572
143	8204302
144	8300308
145	8481115
146	8418896
147	8467879
148	8885985
149	9521944
150	10320807
151	11297333
152	12177907
153	12306805
154	11906264
155	11886725
156	12412903
157	13530545
158	15125411
159	16923982
160	18449291
161	19503421
162	20469122
163	22192560
164	24889041
165	27515919
166	28883223
167	29352994
168	29248508
169	28826709
170	28002519
171	26962739
172	26220576
173	26209227
174	26408881
175	26717180
176	26536147
177	25637711
178	24246339
179	22589548
180	20994154
181	19522686
182	18277640
183	17305504
184	16562935
185	16077381
186	15623504
187	15103208
188	14487356
189	13665779
190	12721826
191	11742675
192	10836606
193	10047002
194	9394679
195	8890854
196	8474505
197	8130383
198	7783047
199	7406579
200	6989586
201	6529359
202	6038755
203	5583510
204	5177699
205	4840117
206	4549364
207	4309844
208	4097671
209	3900476
210	3703875
211	3477049
212	3237538
213	3005274
214	2774047
215	2581714
216	2405480
217	2260876
218	2143941
219	2035875
220	1933129
221	1828963
222	1714731
223	1602869
224	1494780
225	1393419
226	1300106
227	1224995
228	1158516
229	1103950
230	1050632
231	1000037
232	947357
233	897851
234	846014
235	801260
236	759127
237	719994
238	690776
239	669216
240	648696
241	625769
242	608437
243	587928
244	567931
245	549790
246	529777
247	516084
248	505754
249	496719
250	489958
251	485660
252	479292
253	474641
254	470354
255	467251
256	460476
257	454502
258	451011
259	448547
260	447939
261	448546
262	450156
263	453298
264	452902
265	453973
266	448723
267	448203
268	446725
269	449884
270	454567
271	460938
272	468413
273	471951
274	475899
275	481665
276	486257
277	478294
278	482999
279	496518
280	519389
281	512732
282	523901
283	534584
284	564973
285	547617
286	542610
287	552152
288	587701
289	597106
290	589868
291	604065
292	630801
293	669892
294	645505
295	655510
296	678734
297	743387
298	713514
299	730058
300	757453
301	822257
302	790252
303	797839
304	830000
305	892269
306	912068
307	925854
308	959849
309	1003801
310	1034468
311	1044936
312	1068481
313	1104494
314	1142246
315	1171615
316	1204860
317	1232632
318	1263415
319	1288943
320	1320000
321	1345328
322	1368277
323	1393924
324	1413714
325	1431430
326	1447381
327	1459595
328	1477518
329	1496586
330	1520995
331	1548190
332	1568234
333	1579180
334	1591056
335	1591373
336	1589766
337	1587066
338	1588107
339	1592387
340	1602048
341	1614560
342	1629502
343	1637756
344	1647320
345	1650787
346	1646062
347	1643590
348	1637987
349	1633910
350	1631155
351	1627631
352	1624563
353	1618073
354	1610608
355	1600833
356	1593153
357	1583660
358	1577471
359	1565913
360	1551036
361	1532620
362	1511725
363	1490399
364	1470812
365	1450243
366	1429089
367	1413606
368	1394556
369	1373224
370	1351749
371	1326310
372	1297205
373	1263458
374	1230397
375	1197304
376	1165161
377	1142467
378	1115711
379	1091311
380	1067593
381	1039136
382	1009941
383	978209
384	943996
385	911037
386	878898
387	850279
388	822283
389	799916
390	773741
391	750320
392	725468
393	698121
394	670491
395	644045
396	616790
397	592808
398	570127
399	549086
400	529609
401	511205
402	492710
403	472838
404	453218
405	435215
406	416306
407	398714
408	382177
409	366558
410	353757
411	340322
412	328930
413	315742
414	302277
415	290055
416	279298
417	266915
418	258637
419	247600
420	239473
421	231685
422	223572
423	216271
424	209735
425	202846
426	195588
427	188596
428	183466
429	177782
430	173536
431	168188
432	165033
433	161539
434	157901
435	153876
436	150632
437	147673
438	144738
439	142485
440	139959
441	138908
442	137805
443	135879
444	134769
445	133976
446	133689
447	132344
448	130485
449	130552
450	131228
451	131214
452	131166
453	132019
454	133026
455	133001
456	133788
457	132166
458	133019
459	134242
460	133932
461	135692
462	136671
463	138511
464	139589
465	140774
466	141204
467	140814
468	141027
469	141819
470	143098
471	146112
472	147879
473	148946
474	150502
475	150657
476	151013
477	151108
478	153116
479	153700
480	156004
481	156394
482	157000
483	156689
484	157771
485	158455
486	157609
487	158706
488	159367
489	160181
490	159261
491	160180
492	159416
493	159275
494	160156
495	160060
496	160657
497	160979
498	161512
499	162840
500	163112
501	163207
