Length	Counts
1	985656
2	76879
3	46038
4	244816
5	138595
6	39202
7	80266
8	351448
9	1031332
10	2702839
11	6097285
12	8634618
13	12442196
14	16607166
15	20787774
16	25051380
17	27887879
18	29810567
19	32232351
20	40888998
21	36391858
22	34262672
23	35246311
24	35762187
25	36513987
26	36799706
27	37156448
28	37552340
29	37741126
30	38920460
31	37755745
32	37826635
33	37695670
34	37890517
35	37729683
36	37796753
37	37997028
38	38373661
39	37261501
40	38836484
41	39554267
42	39473778
43	39287844
44	36764152
45	36546790
46	36392952
47	36678880
48	37389755
49	38360596
50	36257961
51	38533305
52	39340919
53	39306416
54	37941873
55	36766926
56	36190571
57	36240344
58	36672322
59	37470053
60	37998326
61	38044103
62	37922892
63	37489427
64	36406608
65	35318425
66	34786204
67	34799867
68	34775011
69	34998817
70	35311052
71	35457664
72	35924283
73	36095031
74	35055556
75	33667265
76	32744444
77	32007560
78	32093000
79	32943017
80	33879454
81	34523021
82	35494925
83	36991658
84	36506871
85	33976654
86	31652055
87	30246216
88	29860124
89	30599515
90	32342164
91	33761459
92	34945823
93	36016389
94	36632466
95	35753542
96	33443390
97	31741505
98	31489670
99	32353581
100	33641789
101	34892951
102	35500259
103	35655989
104	35324679
105	34653978
106	33995704
107	33533123
108	33596733
109	34346306
110	35517860
111	36414670
112	36470034
113	36189339
114	36317506
115	35959092
116	34946051
117	34235411
118	34513091
119	36122979
120	39262562
121	43117699
122	46010879
123	47286940
124	48331070
125	49778849
126	49547523
127	46987938
128	44415665
129	44233532
130	47069225
131	52789395
132	60185741
133	66040199
134	68365163
135	68143405
136	68856114
137	70059070
138	71450485
139	74571011
140	81015228
141	88439803
142	94021513
143	98917570
144	102706581
145	103767970
146	101772931
147	100389984
148	101075947
149	103154411
150	106598777
151	111364796
152	115378404
153	115708291
154	114525335
155	115547149
156	118771743
157	124037149
158	131443658
159	140781364
160	149764097
161	157093716
162	165287538
163	176889890
164	190955751
165	201843394
166	206115118
167	206101945
168	202713747
169	196079566
170	187141109
171	177515802
172	169607249
173	165332845
174	162308324
175	159583853
176	155268676
177	148426152
178	139578282
179	129737526
180	120269424
181	111380803
182	103858914
183	97733196
184	92862726
185	89127175
186	85880732
187	82626831
188	79062981
189	74884262
190	70355448
191	65635981
192	61176336
193	57169434
194	53755246
195	51038650
196	48794532
197	46886803
198	45039615
199	43044754
200	40788746
201	38293350
202	35698880
203	33256514
204	31066379
205	29170646
206	27546123
207	26145743
208	24887263
209	23643053
210	22394998
211	21033588
212	19610805
213	18238832
214	16920383
215	15808656
216	14797890
217	13950660
218	13216511
219	12512998
220	11828881
221	11169099
222	10454047
223	9769707
224	9131970
225	8520620
226	7988288
227	7526004
228	7118782
229	6764623
230	6425957
231	6101250
232	5789940
233	5487511
234	5186371
235	4901317
236	4645457
237	4413030
238	4220274
239	4068592
240	3922874
241	3787180
242	3666719
243	3554002
244	3435286
245	3323509
246	3206535
247	3103666
248	2994500
249	2915659
250	2856915
251	2805761
252	2768828
253	2722837
254	2687753
255	2643343
256	2594661
257	2547870
258	2521548
259	2485226
260	2450918
261	2431360
262	2442940
263	2451467
264	2432164
265	2410588
266	2390329
267	2375371
268	2367923
269	2371125
270	2388849
271	2414727
272	2454025
273	2473571
274	2498024
275	2517702
276	2550552
277	2581673
278	2645272
279	2703473
280	2754343
281	2763581
282	2804767
283	2859571
284	2942953
285	2930529
286	2922567
287	2922779
288	2987861
289	3047982
290	3084458
291	3157193
292	3243594
293	3341655
294	3378762
295	3447591
296	3575049
297	3777851
298	3895812
299	4047194
300	4170505
301	4309674
302	4335873
303	4421789
304	4553456
305	4736335
306	4876542
307	5052465
308	5240959
309	5408907
310	5518851
311	5625920
312	5716289
313	5763913
314	5823792
315	5893767
316	6012226
317	6083433
318	6185701
319	6279230
320	6408825
321	6481649
322	6518765
323	6553615
324	6586252
325	6607847
326	6585626
327	6601387
328	6672317
329	6780073
330	6887791
331	6980647
332	7045320
333	7069245
334	7056439
335	7024388
336	6990438
337	6974887
338	7007995
339	7072114
340	7167692
341	7236844
342	7299172
343	7304894
344	7280843
345	7235244
346	7184129
347	7158291
348	7163289
349	7194824
350	7234495
351	7259093
352	7252224
353	7203492
354	7120975
355	7018977
356	6930538
357	6858510
358	6813568
359	6784837
360	6761961
361	6725248
362	6652376
363	6558471
364	6426942
365	6284105
366	6130915
367	6012574
368	5902979
