Length	Counts
1	0
2	1136
3	1015
4	783
5	678
6	750
7	653
8	710
9	811
10	647
11	795
12	829
13	761
14	725
15	725
16	750
17	653
18	731
19	621
20	673
21	606
22	659
23	632
24	608
25	698
26	704
27	637
28	783
29	750
30	10786
31	12098
32	14070
33	16618
34	19112
35	22931
36	26712
37	31896
38	39109
39	46240
40	51204
41	58861
42	70337
43	80280
44	87966
45	96807
46	110120
47	123121
48	138713
49	155339
50	166991
51	179076
52	184530
53	195335
54	205902
55	219146
56	233426
57	247500
58	266979
59	285130
60	301882
61	314682
62	320968
63	325965
64	328794
65	339131
66	346040
67	356244
68	370555
69	392133
70	411878
71	414470
72	409200
73	410932
74	413408
75	422088
76	430200
77	442579
78	472488
79	541653
80	631440
81	626264
82	542289
83	487522
84	474443
85	474878
86	484196
87	491128
88	510227
89	557938
90	648229
91	751508
92	781603
93	663999
94	586705
95	572050
96	581260
97	630521
98	727282
99	890523
100	959105
101	961070
102	918343
103	884365
104	841308
105	800386
106	815578
107	866082
108	914630
109	978030
110	1077221
111	1143383
112	1109402
113	1014917
114	938908
115	920313
116	941636
117	989776
118	1055287
119	1177147
120	1430625
121	1839293
122	2127797
123	2027482
124	1590570
125	1271491
126	1183504
127	1200133
128	1264142
129	1387602
130	1648507
131	2117820
132	2918532
133	3768545
134	3900361
135	3108920
136	2523554
137	2503065
138	2996765
139	4099582
140	5845739
141	7405439
142	7863810
143	7645145
144	7402240
145	7239216
146	6764040
147	6507583
148	6861865
149	7665779
150	8901730
151	10644265
152	12408465
153	12806231
154	11912273
155	11126146
156	10909587
157	11510361
158	13144650
159	15788804
160	18494174
161	20273212
162	20998580
163	21426832
164	22008615
165	22473481
166	22987903
167	24192907
168	25543223
169	26503767
170	26636256
171	26091871
172	25250561
173	24506795
174	23479811
175	22875614
176	22762180
177	22978030
178	23323993
179	23461745
180	23287997
181	22681354
182	21864360
183	20916137
184	20022044
185	19369280
186	18984824
187	18862446
188	18913794
189	18862229
190	18630403
191	18099846
192	17364929
193	16544815
194	15784776
195	15169961
196	14674405
197	14342676
198	14089137
199	13781329
200	13323430
201	12708884
202	11968114
203	11226096
204	10523997
205	9903497
206	9370707
207	8914365
208	8551486
209	8182256
210	7801613
211	7355252
212	6853743
213	6346253
214	5859284
215	5451371
216	5068472
217	4760906
218	4503854
219	4251405
220	3996313
221	3757661
222	3477216
223	3205274
224	2961190
225	2718300
226	2521137
227	2343165
228	2187130
229	2046495
230	1909517
231	1771482
232	1632496
233	1509772
234	1389145
235	1280818
236	1184024
237	1097260
238	1020750
239	958278
240	895386
241	834262
242	777416
243	723742
244	670173
245	625344
246	585142
247	548559
248	515963
249	489253
250	465099
251	441059
252	420221
253	396839
254	377279
255	360600
256	346370
257	332310
258	321621
259	310842
260	302635
261	294578
262	286806
263	280634
264	272473
265	265397
266	259318
267	254020
268	254668
269	254460
270	256901
271	253995
272	254078
273	252617
274	248540
275	243846
276	240621
277	242232
278	245466
279	251189
280	259891
281	268661
282	276114
283	278089
284	279180
285	277675
286	282708
287	291540
288	304175
289	318024
290	332338
291	342376
292	357488
293	367498
294	377579
295	384151
296	400936
297	422712
298	450133
299	476398
300	499545
301	520939
302	534537
303	562944
304	602464
305	636773
306	646628
307	689840
308	735593
309	767106
310	769541
311	815802
312	860187
313	867449
314	884463
315	915923
316	983518
317	993685
318	1023733
319	1046132
320	1111384
321	1144243
322	1171311
323	1211720
324	1268480
325	1319136
326	1326574
327	1348233
328	1395560
329	1456071
330	1502156
331	1550950
332	1602243
333	1656643
334	1697618
335	1734227
336	1765016
337	1797078
338	1848165
339	1907718
340	1974668
341	2034601
342	2084191
343	2117328
344	2135676
345	2145441
346	2158955
347	2180978
348	2219830
349	2270437
350	2320309
351	2358712
352	2378297
353	2375675
354	2357069
355	2333977
356	2313641
357	2308828
358	2312852
359	2324238
360	2341473
361	2353555
362	2339691
363	2316340
364	2271056
365	2219954
366	2166571
367	2128005
368	2098964
369	2075457
370	2065702
371	2045071
372	2011665
373	1964461
374	1902577
375	1836544
376	1767833
377	1705208
378	1653153
379	1610220
380	1573963
381	1540129
382	1496949
383	1448653
384	1389054
385	1327511
386	1261344
387	1202851
388	1151071
389	1107348
390	1066395
391	1029592
392	990171
393	948037
394	903274
395	853885
396	804461
397	754810
398	714248
399	675273
400	642091
401	613170
402	583434
403	553066
404	522694
405	493234
406	459970
407	431829
408	402381
409	376228
410	353168
411	333186
412	314015
413	296323
414	279122
415	260525
416	243965
417	226824
418	210289
419	196757
420	183373
421	171915
422	161957
423	153120
424	143968
425	135016
426	126958
427	118927
428	110315
429	104420
430	98858
431	92974
432	88389
433	84488
434	81700
435	77192
436	73102
437	70000
438	66479
439	63408
440	61014
441	59392
442	58681
443	58228
444	57298
445	56928
446	55713
447	54520
448	53906
449	52990
450	53403
451	54389
452	55491
453	56893
454	58022
455	58261
456	58422
457	58683
458	59035
459	59926
460	61496
461	62118
462	64538
463	66247
464	67900
465	68201
466	69933
467	70893
468	72461
469	75449
470	78601
471	80950
472	83990
473	85610
474	86215
475	87363
476	89123
477	92604
478	97295
479	100861
480	103847
481	105971
482	106496
483	106560
484	106657
485	107879
486	109312
487	111485
488	114797
489	117583
490	120300
491	120809
492	122207
493	122514
494	123071
495	124285
496	125877
497	128590
498	131192
499	133280
500	134537
